product_id,category,metal,karat,gross_weight,stone_weight,price,image_file
Earring_ESST_1402,Earrings,Gold,22K,2.50 gm,0.12 gm,"38,172 ",Earring_ESST_1402_side_view.jpg
Earring_ESST_1402,Earrings,Gold,22K,2.50 gm,0.12 gm,"38,172 ",Earring_ESST_1402_front_view.jpg
Earring_PST_9,Earrings,Gold,22K,3.02 gm,0.02 gm,"51,689 ",Earring_PST_9_perspective_view.jpg
Earring_PST_9,Earrings,Gold,22K,3.02 gm,0.02 gm,"51,689 ",Earring_PST_9_front_view.jpg
Earring_PST_9,Earrings,Gold,22K,3.02 gm,0.02 gm,"51,689 ",Earring_PST_9_side_view.jpg
Earring_PST_8,Earrings,Gold,22K,3.34 gm,0.02 gm,"57,130 ",Earring_PST_8_perspective_view.jpg
Earring_PST_8,Earrings,Gold,22K,3.34 gm,0.02 gm,"57,130 ",Earring_PST_8_front_view.jpg
Earring_PST_8,Earrings,Gold,22K,3.34 gm,0.02 gm,"57,130 ",Earring_PST_8_side_view.jpg
Earring_PST_7,Earrings,Gold,22K,4.66 gm,NA,"79,906 ",Earring_PST_7_front_view.jpg
Earring_PST_7,Earrings,Gold,22K,4.66 gm,NA,"79,906 ",Earring_PST_7_side_view.jpg
Earring_PST_5,Earrings,Gold,22K,3.59 gm,NA,"61,712 ",Earring_PST_5_perspective_view.jpg
Earring_PST_5,Earrings,Gold,22K,3.59 gm,NA,"61,712 ",Earring_PST_5_front_view.jpg
Earring_PST_5,Earrings,Gold,22K,3.59 gm,NA,"61,712 ",Earring_PST_5_side_view.jpg
Earring_PST_3,Earrings,Gold,22K,2.86 gm,NA,"49,300 ",Earring_PST_3_perspective_view.jpg
Earring_PST_3,Earrings,Gold,22K,2.86 gm,NA,"49,300 ",Earring_PST_3_front_view.jpg
Earring_PST_3,Earrings,Gold,22K,2.86 gm,NA,"49,300 ",Earring_PST_3_side_view.jpg
Earring_PST_2,Earrings,Gold,22K,3.5 gm,NA,"61,985 ",Earring_PST_2_perspective_view.jpg
Earring_PST_2,Earrings,Gold,22K,3.5 gm,NA,"61,985 ",Earring_PST_2_front_view.jpg
Earring_PST_2,Earrings,Gold,22K,3.5 gm,NA,"61,985 ",Earring_PST_2_side_view.jpg
Hira_Earring,Earrings,Gold,22K,2.5 gm,0.01 gm,"43,183 ",Hira_Earring_front_view.jpg
Hira_Earring,Earrings,Gold,22K,2.5 gm,0.01 gm,"43,183 ",Hira_Earring_side_view.jpg
Earring_ESST_1398,Earrings,Gold,22K,1.80 gm,0.26 gm,"24,948 ",Earring_ESST_1398_perspective_view.jpg
Earring_ESST_1398,Earrings,Gold,22K,1.80 gm,0.26 gm,"24,948 ",Earring_ESST_1398_front_view.jpg
Earring_ESST_1398,Earrings,Gold,22K,1.80 gm,0.26 gm,"24,948 ",Earring_ESST_1398_side_view.jpg
Earring_ESST_1372,Earrings,Gold,22K,2.70 gm,0.13 gm,"41,183 ",Earring_ESST_1372_perspective_view.jpg
Earring_ESST_1372,Earrings,Gold,22K,2.70 gm,0.13 gm,"41,183 ",Earring_ESST_1372_front_view.jpg
Earring_ESST_1372,Earrings,Gold,22K,2.70 gm,0.13 gm,"41,183 ",Earring_ESST_1372_side_view.jpg
Earring_ESST_1364,Earrings,Gold,22K,2.70 gm,0.44 gm,"36,421 ",Earring_ESST_1364_perspective_view.jpg
Earring_ESST_1364,Earrings,Gold,22K,2.70 gm,0.44 gm,"36,421 ",Earring_ESST_1364_front_view.jpg
Earring_ESST_1364,Earrings,Gold,22K,2.70 gm,0.44 gm,"36,421 ",Earring_ESST_1364_side_view.jpg
BRACELET_BCPL_0337,Bracelet,Gold,22K,5.80 gm,NA,"60,140 ",BRACELET_BCPL_0337.jpg
BRACELET_0245,Bracelet,Gold,22K,3.90 gm,NA,"40,439 ",BRACELET_0245.jpg
BRACELET_BPCL_0211,Bracelet,Gold,22K,5.00 gm,NA,"51,845 ",BRACELET_BPCL_0211.jpg
BRACELET_BCPL_0155,Bracelet,Gold,22K,5.80 gm,NA,"60,140 ",BRACELET_BCPL_0155.jpg
Necklace_50,Necklace,Gold,22K,12.36 gm,NA,"2,10,833 ",Necklace_50.jpg
Necklace_NUK_262,Necklace,Gold,22K,27.37 gm,NA,"4,35,472 ",Necklace_NUK_262.jpg
Necklace_NUK_336,Necklace,Gold,22K,34.22 gm,NA,"5,44,350 ",Necklace_NUK_336.jpg
Necklace_NUK_363,Necklace,Gold,22K,31.87 gm,NA,"5,06,998 ",Necklace_NUK_363.jpg
Necklace_NUK_277,Necklace,Gold,22K,30.88 gm,NA,"4,91,262 ",Necklace_NUK_277.jpg
Necklace_NUK_365,Necklace,Gold,22K,33.42 gm,NA,"5,31,634 ",Necklace_NUK_365.jpg
Necklace_NUK_272,Necklace,Gold,22K,29.36 gm,NA,"4,67,102 ",Necklace_NUK_272.jpg
Necklace_NUK_266,Necklace,Gold,22K,27.82 gm,NA,"4,42,625 ",Necklace_NUK_266.jpg
Necklace_NUK_269,Necklace,Gold,22K,28.68 gm,NA,"4,56,294 ",Necklace_NUK_269.jpg
Necklace_NUK_516,Necklace,Gold,22K,28.26 gm,NA,"4,49,618 ",Necklace_NUK_516.jpg
Necklace_NUK_274,Necklace,Gold,22K,30.10 gm,NA,"4,78,864 ",Necklace_NUK_274.jpg
Necklace_NUK_282,Necklace,Gold,22K,31.54 gm,NA,"5,01,753 ",Necklace_NUK_282.jpg
Necklace_NUK_462,Necklace,Gold,22K,32.17 gm,NA,"5,11,766 ",Necklace_NUK_462.jpg
Necklace_NUK_442,Necklace,Gold,22K,26.72 gm,NA,"4,25,141 ",Necklace_NUK_442.jpg
Necklace_NUK_437,Necklace,Gold,22K,24.03 gm,NA,"3,82,384 ",Necklace_NUK_437.jpg
Necklace_NUK_051,Necklace,Gold,22K,24.46 gm,NA,"3,89,219 ",Necklace_NUK_051.jpg
Necklace_NUK_459,Necklace,Gold,22K,25.70 gm,NA,"4,08,928 ",Necklace_NUK_459.jpg
Necklace_CKKL_001,Necklace,Gold,22K,36.21 gm,NA,"5,78,657 ",Necklace_CKKL_001.jpg
Necklace_CKKL_007,Necklace,Gold,22K,33.48 gm,NA,"5,35,063 ",Necklace_CKKL_007.jpg
Necklace_CKKL_005,Necklace,Gold,22K,24.46 gm,NA,"3,91,027 ",Necklace_CKKL_005.jpg
Necklace_CKKL_006,Necklace,Gold,22K,24.90 gm,NA,"3,98,053 ",Necklace_CKKL_006.jpg
Necklace_CKKL_010,Necklace,Gold,22K,28.00 gm,NA,"4,47,556 ",Necklace_CKKL_010.jpg
Necklace_51,Necklace,Gold,22K,12.81 gm,NA,"2,18,484 ",Necklace_51.jpg
Necklace_32,Necklace,Gold,NA,NA,NA,"2,03,181 ",Necklace_32.jpg
Necklace_09,Necklace,Gold,22K,5.50 gm,NA,"94,189 ",Necklace_09.jpg
